model,seed,latent_dim,beta,final_train_loss,anomaly_rate,spearman_vs_iso,silhouette_raw_with_ch5,silhouette_latent_with_ch5
AE,7,8,,0.043057395725928614,0.05000166672222407,0.7443362972947589,0.14332440495491028,0.1871454268693924
VAE,7,8,0.5,0.2916633464708742,0.05000166672222407,0.7265828655778926,0.14332440495491028,0.23137906193733215
VAE,7,8,1.0,0.2916646525325877,0.05000166672222407,0.726641940325597,0.14332440495491028,0.1311371773481369
VAE,7,8,4.0,0.29166451432348434,0.05000166672222407,0.7265999154633299,0.14332440495491028,0.07763802260160446
AE,7,16,,0.026599525534999863,0.05000166672222407,0.7130877127263607,0.14332440495491028,0.17574481666088104
VAE,7,16,0.5,0.2916677123483605,0.05000166672222407,0.7295191873722953,0.14332440495491028,0.19952642917633057
VAE,7,16,1.0,0.2916698624240269,0.05000166672222407,0.72951982103785,0.14332440495491028,0.09107058495283127
VAE,7,16,4.0,0.2916683012772309,0.05000166672222407,0.7294474338573528,0.14332440495491028,0.04806552082300186
AE,42,8,,0.043098042644843015,0.05000166672222407,0.7559184806008196,0.14332440495491028,0.1981661468744278
VAE,42,8,0.5,0.2912082768837147,0.05000166672222407,0.7325696763712408,0.14332440495491028,0.07290009409189224
VAE,42,8,1.0,0.29120928188955436,0.05000166672222407,0.732603714897792,0.14332440495491028,0.09081016480922699
VAE,42,8,4.0,0.2912086391468321,0.05000166672222407,0.7325946060896189,0.14332440495491028,0.1392105370759964
AE,42,16,,0.025489511374450994,0.05000166672222407,0.6231398653552902,0.14332440495491028,0.1216740757226944
VAE,42,16,0.5,0.2912029985367371,0.05000166672222407,0.731200768900219,0.14332440495491028,0.06149309128522873
VAE,42,16,1.0,0.29120240304976097,0.05000166672222407,0.7311583954084845,0.14332440495491028,0.055929698050022125
VAE,42,16,4.0,0.2912016610478805,0.05000166672222407,0.7311763340244495,0.14332440495491028,0.06115551292896271
AE,1337,8,,0.044965537823842876,0.05000166672222407,0.7290711730141087,0.14332440495491028,0.1736951321363449
VAE,1337,8,0.5,0.293063979664363,0.05000166672222407,0.7148318111728396,0.14332440495491028,0.048262160271406174
VAE,1337,8,1.0,0.2930652068993978,0.05000166672222407,0.7148184715060126,0.14332440495491028,0.06977234780788422
VAE,1337,8,4.0,0.2930666258162148,0.05000166672222407,0.7148251926716698,0.14332440495491028,0.08959931135177612
AE,1337,16,,0.02715987853785621,0.05000166672222407,0.6328215873565252,0.14332440495491028,0.3281453847885132
VAE,1337,16,0.5,0.293048593131454,0.05000166672222407,0.7188962833851212,0.14332440495491028,0.10992079973220825
VAE,1337,16,1.0,0.29304952923862226,0.05000166672222407,0.7189342819454887,0.14332440495491028,0.09800676256418228
VAE,1337,16,4.0,0.29304893950060945,0.05000166672222407,0.7189049346331656,0.14332440495491028,0.09311088174581528
