rank,sample_index,ae_error
1,18272,0.26434478
2,5131,0.24894035
3,13258,0.22268131
4,22291,0.21387565
5,4183,0.21287176
6,20055,0.21067607
7,19322,0.208051
8,2889,0.19780678
9,17004,0.1863107
10,22774,0.18375729
11,8155,0.1831789
12,24715,0.17805427
13,20545,0.1775423
14,6199,0.17524329
15,13104,0.17038068
16,25256,0.1674232
17,11959,0.16420554
18,10426,0.16153035
19,16425,0.1591526
20,16200,0.15667059
21,21543,0.15556724
22,6923,0.15486738
23,29437,0.15352198
24,2786,0.15343842
25,21969,0.15253548
26,934,0.15233892
27,26711,0.15183781
28,4638,0.15042874
29,6163,0.14857092
30,20487,0.14856073
31,23981,0.14850932
32,7890,0.14709611
33,23527,0.14601505
34,16009,0.14548528
35,23004,0.14531997
36,8683,0.14526415
37,3741,0.14520472
38,8799,0.14520377
39,5650,0.14483598
40,28798,0.14452119
41,15476,0.14447482
42,3849,0.14384748
43,29136,0.14369795
44,14388,0.14351124
45,6678,0.1429261
46,6362,0.14269707
47,12596,0.14262985
48,8251,0.14217947
49,2191,0.14201467
50,947,0.14137654
