rank,sample_index,iforest_score
1,13258,0.6279762067489858
2,5131,0.6219493624280525
3,19322,0.6133676298892573
4,16200,0.6107969768198154
5,22291,0.6058531595289562
6,18272,0.6048722365617085
7,2786,0.6024056649921666
8,23270,0.6020565967666499
9,25256,0.5998193326302987
10,8683,0.5970787538606541
11,13104,0.5927717376289185
12,10426,0.5913021785416657
13,2191,0.5913006994597575
14,20055,0.59095569085568
15,15476,0.5902876273926978
16,17734,0.5899705433015596
17,10661,0.588613301819609
18,7052,0.5885901975286572
19,1211,0.5880800503302498
20,18441,0.5870732419244301
21,19147,0.5857080293294937
22,26228,0.5845171910786653
23,29558,0.5830153753924823
24,5873,0.5829986154225141
25,16721,0.5812864625631179
26,23250,0.581243771243029
27,28798,0.5806469459874696
28,27461,0.5801309781357415
29,274,0.5797337095114522
30,26711,0.5796655637575385
31,8155,0.5789451377266258
32,20004,0.57873595939655
33,11959,0.5782604350922522
34,25153,0.5779566555143703
35,22303,0.5773879315039573
36,27712,0.5771926339656034
37,1058,0.5770747797055387
38,13727,0.5762036341710087
39,20972,0.5760570041551063
40,7966,0.5755487173703074
41,2232,0.5751464037841786
42,29619,0.5750031839421288
43,305,0.5747992767365248
44,16132,0.5743147062862755
45,5543,0.5741229313558096
46,12372,0.5740045583415057
47,28120,0.5733170710488102
48,4937,0.5732992584917116
49,14516,0.5731848280943037
50,14388,0.5731373424599218
