rank,sample_index,vae_error
1,18272,2.8985264
2,20055,2.0424147
3,19322,1.9635627
4,25256,1.8593942
5,5038,1.7779155
6,17646,1.6759343
7,27910,1.6290576
8,2674,1.6092253
9,19981,1.5684971
10,26381,1.506594
11,22291,1.4932712
12,2889,1.4757944
13,12644,1.4730133
14,1008,1.4531856
15,3611,1.4459112
16,15338,1.4018686
17,18457,1.3743582
18,18234,1.369575
19,16282,1.348113
20,16425,1.3162074
21,17096,1.2542766
22,18414,1.2409445
23,21177,1.2385751
24,5131,1.2320535
25,24947,1.2298145
26,20186,1.2286135
27,23270,1.2174623
28,6340,1.2163017
29,18383,1.2120515
30,22354,1.209089
31,28798,1.208003
32,16296,1.1997536
33,13258,1.1781135
34,27482,1.1705682
35,12189,1.1691917
36,15621,1.1589535
37,20004,1.1579953
38,15015,1.1539719
39,28563,1.1522367
40,21934,1.1447943
41,27343,1.1371337
42,13104,1.1335454
43,5295,1.1334966
44,27058,1.1332943
45,29134,1.1125695
46,12989,1.1121138
47,2099,1.1078361
48,2191,1.1025068
49,23060,1.0993372
50,18700,1.0972904
